service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS12025-hba15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbb15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbc15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbf15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbg15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbl15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbq15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbs15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
BUS12025-hbt15011-Weekday-02,1,1,1,1,1,0,0,20250121,20250404
Boat-EastBoston-Saturday-Summer-25,0,0,0,0,0,1,0,20250308,20250405
Boat-EastBoston-Sunday-Summer-25,0,0,0,0,0,0,1,20250309,20250330
Boat-EastBoston-Weekday-Summer-25,1,1,1,1,1,0,0,20250303,20250404
Boat-F1-Weekday-Fall-24,1,1,1,1,1,0,0,20250120,20250404
Boat-F4-Saturday-Fall-24,0,0,0,0,0,1,0,20250125,20250405
Boat-F4-Sunday-Fall-24,0,0,0,0,0,0,1,20250126,20250330
Boat-F4-Weekday-Fall-24,1,1,1,1,1,0,0,20250120,20250404
Boat-F6-Weekday-Summer-25,1,1,1,1,1,0,0,20250331,20250404
Boat-Lynn-Weekday-Summer-25,1,1,1,1,1,0,0,20250331,20250404
CR-NewburyportBeverlyShuttle-Saturday,0,0,0,0,0,1,0,20250201,20250201
CR-NewburyportBeverlyShuttle-Sunday,0,0,0,0,0,0,1,20250202,20250202
CR-NorthStationReading-Saturday,0,0,0,0,0,1,0,20250201,20250201
CR-NorthStationReading-Sunday,0,0,0,0,0,0,1,20250202,20250202
CR-NorthStationSwampscottExpress-Std,0,0,0,0,0,1,0,20250201,20250201
CR-NorthStationSwampscottExpress-Sunday,0,0,0,0,0,0,1,20250202,20250202
CR-NorthStationSwampscottLocal-Saturday,0,0,0,0,0,1,0,20250201,20250201
CR-NorthStationSwampscottLocal-Sunday,0,0,0,0,0,0,1,20250202,20250202
CR-ReadingAndersonWoburn-Saturday,0,0,0,0,0,1,0,20250201,20250201
CR-ReadingAndersonWoburn-Sunday,0,0,0,0,0,0,1,20250202,20250202
FALL 2024-N-Sa-1-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-N-Su-13-S6561ad1d-HvlBrdVn,0,0,0,0,0,0,1,20250202,20250202
FALL 2024-N-Sunday-1-S6561ad1d-HvlBrdVn,0,0,0,0,0,0,1,20250126,20250330
FALL 2024-N-Wdy-1-S6561ad1d-HvlBrdVn,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-NORTHSAT-Saturday-1,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-NORTHSAT-Saturday-1-S7d8482ee,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-NORTHSAT-Saturday-1-S9d378dcf,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-NORTHSUN-Sunday-1-S7d8482ee,0,0,0,0,0,0,1,20250126,20250330
FALL 2024-NORTHSUN-Sunday-1-S9d378dcf,0,0,0,0,0,0,1,20250126,20250330
FALL 2024-NORTHSUN-Sunday-13-S7d8482ee,0,0,0,0,0,0,1,20250202,20250202
FALL 2024-NORTHSUN-Sunday-13-S9d378dcf,0,0,0,0,0,0,1,20250202,20250202
FALL 2024-NORTHWKD-Weekday-1,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-NORTHWKD-Weekday-1-S7d8482ee,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-NORTHWKD-Weekday-1-S9d378dcf,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-SOUTHSAT-Saturday-1,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-SOUTHSAT-Saturday-1-S85407dc6,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-SOUTHSAT-Saturday-1-S859962ef,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-SOUTHSAT-Saturday-1-Sb0e4ed14,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-SOUTHSAT-Saturday-1-Sb7371956,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-SOUTHSAT-Saturday-1-Sc9a3b080,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-SOUTHSAT-Saturday-1-Scbbf1ea5,0,0,0,0,0,1,0,20250125,20250405
FALL 2024-SOUTHWKD-Weekday-1,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-SOUTHWKD-Weekday-1-S85407dc6,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-SOUTHWKD-Weekday-1-S859962ef,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-SOUTHWKD-Weekday-1-Sb7371956,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-SOUTHWKD-Weekday-1-Sc9a3b080,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-SOUTHWKD-Weekday-1-Scbbf1ea5,1,1,1,1,1,0,0,20250120,20250404
FALL 2024-SOUTHWKD-Weekday-42-Sb0e4ed14,1,1,1,1,1,0,0,20250120,20250404
Fall/WinterSaturday,0,0,0,0,0,1,0,20250201,20250201
Fall/WinterSunday,0,0,0,0,0,0,1,20250126,20250330
LRV12025-hlb15011-Weekday-01,1,1,1,1,1,0,0,20250121,20250404
