trip_id,trip_property_id,value
68992286,note,Waits at South Station for last Red Line train
68992286,trip_type,wait
68992457,note,Waits at Mattapan for last Mattapan Trolley train
68992457,trip_type,wait
68992459,note,Waits at Ruggles for last Orange Line train
68992459,trip_type,wait
68992794,note,Waits at South Station for last Red Line train
68992794,trip_type,wait
68993182,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
68993182,trip_type,wait
68993272,note,Waits at Back Bay for last Orange Line train
68993272,trip_type,wait
68995144,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
68995144,trip_type,wait
68995279,note,Waits at Mattapan for last Mattapan Trolley train
68995279,trip_type,wait
68995296,note,Waits at Ruggles for last Orange Line train
68995296,trip_type,wait
68995777,note,Waits at Back Bay for last Orange Line train
68995777,trip_type,wait
68995802,note,Waits at South Station for last Red Line train
68995802,trip_type,wait
68996111,note,Waits at South Station for last Red Line train
68996111,trip_type,wait
69110873,note,Waits at Ruggles for last Orange Line train
69110873,trip_type,wait
69110874,note,Waits at Mattapan for last Mattapan Trolley train
69110874,trip_type,wait
69110964,note,Waits at Back Bay for last Orange Line train
69110964,trip_type,wait
69111419,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
69111419,trip_type,wait
69111936,note,Waits at South Station for last Red Line train
69111936,trip_type,wait
69111999,note,Waits at South Station for last Red Line train
69111999,trip_type,wait
69332242,note,Waits at Ashmont for last Red Line train
69332242,trip_type,wait
69332433,note,Waits at Ashmont for last Red Line train
69332433,trip_type,wait
69332669,note,Waits at Ashmont for last Red Line train
69332669,trip_type,wait
69363256,note,Waits at Lechmere for last Green Line train
69363256,trip_type,wait
69363342,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
69363342,trip_type,wait
69363572,note,Waits at Harvard for last Red Line train
69363572,trip_type,wait
69363753,note,Waits at Lechmere for last Green Line train
69363753,trip_type,wait
69363856,note,Waits at Lechmere for last Green Line train
69363856,trip_type,wait
69363892,note,Waits at Lechmere for last Green Line train
69363892,trip_type,wait
69364280,note,Waits at Western Ave @ Green St for last Red Line train
69364280,trip_type,wait
69364410,note,Waits at Harvard for last Red Line train
69364410,trip_type,wait
69364633,note,Waits at Green St @ Magazine St for last Red Line train
69364633,trip_type,wait
69364881,note,Waits at Harvard for last Red Line train
69364881,trip_type,wait
69364931,note,Waits at Harvard for last Red Line train
69364931,trip_type,wait
69365794,note,Waits at Harvard for last Red Line train
69365794,trip_type,wait
69365974,note,Waits at Harvard for last Red Line train
69365974,trip_type,wait
69366023,note,Waits at Green St @ Magazine St for last Red Line train
69366023,trip_type,wait
69366145,note,Waits at Lechmere for last Green Line train
69366145,trip_type,wait
69366184,note,Waits at Lechmere for last Green Line train
69366184,trip_type,wait
69366253,note,Waits at Lechmere for last Green Line train
69366253,trip_type,wait
69366339,note,Waits at Western Ave @ Green St for last Red Line train
69366339,trip_type,wait
69366640,note,Waits at Harvard for last Red Line train
69366640,trip_type,wait
69384250,note,Waits at Harvard for last Red Line train
69384250,trip_type,wait
69384423,note,Waits at Green St @ Magazine St for last Red Line train
69384423,trip_type,wait
69384577,note,Waits at Harvard for last Red Line train
69384577,trip_type,wait
69384579,note,Waits at Harvard for last Red Line train
69384579,trip_type,wait
69384711,note,Waits at Lechmere for last Green Line train
69384711,trip_type,wait
69384805,note,Waits at Magazine St @ Green St for last Red Line train
69384805,trip_type,wait
69384837,note,Waits at Western Ave @ Green St for last Red Line train
69384837,trip_type,wait
69384997,note,Waits at Lechmere for last Green Line train
69384997,trip_type,wait
69385042,note,Waits at Lechmere for last Green Line train
69385042,trip_type,wait
69385255,note,Waits at Lechmere for last Green Line train
69385255,trip_type,wait
69385328,note,Waits at Harvard for last Red Line train
69385328,trip_type,wait
69565991,note,Waits at Ruggles for last Orange Line train
69565991,trip_type,wait
69566032,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
69566032,trip_type,wait
69566172,note,Waits at W Broadway @ Broadway Station for last Red Line train
69566172,trip_type,wait
69566260,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
69566260,trip_type,wait
69566266,note,Waits at Nubian for last Silver Line bus
69566266,trip_type,wait
69566368,note,Waits at W Broadway @ Broadway Station for last Red Line train
69566368,trip_type,wait
69566500,note,Waits at Ruggles for last Orange Line train
69566500,trip_type,wait
69566707,note,Waits at Nubian for last Silver Line bus
69566707,trip_type,wait
69566716,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
69566716,trip_type,wait
69566859,note,Waits at Kenmore for last Green Line train
69566859,trip_type,wait
69566913,note,Waits at Boylston St @ Dartmouth St for last Green Line train
69566913,trip_type,wait
69566994,note,Waits at Andrew for last Red Line train
69566994,trip_type,wait
69566995,note,Waits at Forest Hills for last Orange Line train
69566995,trip_type,wait
69567188,note,Waits at Ashmont for last Red Line train
69567188,trip_type,wait
69567258,note,Waits at Ruggles for last Orange Line train
69567258,trip_type,wait
69570962,note,Waits at Ruggles for last Orange Line train
69570962,trip_type,wait
69570990,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
69570990,trip_type,wait
69571097,note,Waits at W Broadway @ Broadway Station for last Red Line train
69571097,trip_type,wait
69571290,note,Waits at W Broadway @ Broadway Station for last Red Line train
69571290,trip_type,wait
69571326,note,Waits at Ruggles for last Orange Line train
69571326,trip_type,wait
69571399,note,Waits at Green St @ Pearl St for last Red Line train
69571399,trip_type,wait
69571405,note,Waits at Ruggles for last Orange Line train
69571405,trip_type,wait
69571537,note,Waits at Boylston St @ Dartmouth St for last Green Line train
69571537,trip_type,wait
69571602,note,Waits at Kenmore for last Green Line train
69571602,trip_type,wait
69571789,note,Waits at Ashmont for last Red Line train
69571789,trip_type,wait
69571844,note,Waits at Ruggles for last Orange Line train
69571844,trip_type,wait
69571920,note,Waits at Andrew for last Red Line train
69571920,trip_type,wait
69571924,note,Waits at Forest Hills for last Orange Line train
69571924,trip_type,wait
69572031,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
69572031,trip_type,wait
69572056,note,Waits at Nubian for last Silver Line bus
69572056,trip_type,wait
69572267,note,Waits at Nubian for last Silver Line bus
69572267,trip_type,wait
69572370,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
69572370,trip_type,wait
69702643,note,Waits at W Broadway @ Broadway Station for last Red Line train
69702643,trip_type,wait
69702761,note,Waits at W Broadway @ Broadway Station for last Red Line train
69702761,trip_type,wait
69703160,note,Waits at Nubian for last Silver Line bus
69703160,trip_type,wait
69703162,note,Waits at Nubian for last Silver Line bus
69703162,trip_type,wait
69703412,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
69703412,trip_type,wait
69703507,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
69703507,trip_type,wait
69703730,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
69703730,trip_type,wait
69704057,note,Waits at Ruggles for last Orange Line train
69704057,trip_type,wait
69704060,note,Waits at Ruggles for last Orange Line train
69704060,trip_type,wait
69704062,note,Waits at Ruggles for last Orange Line train
69704062,trip_type,wait
69704625,note,Waits at Andrew for last Red Line train
69704625,trip_type,wait
69704627,note,Waits at Boylston St @ Dartmouth St for last Green Line train
69704627,trip_type,wait
69704630,note,Waits at Forest Hills for last Orange Line train
69704630,trip_type,wait
69705020,note,Waits at Green St @ Pearl St for last Red Line train
69705020,trip_type,wait
69705117,note,Waits at Ashmont for last Red Line train
69705117,trip_type,wait
69705123,note,Waits at Ruggles for last Orange Line train
69705123,trip_type,wait
69705344,note,Waits at Kenmore for last Green Line train
69705344,trip_type,wait
69728810,note,Waits at Wellington for last Orange Line train
69728810,trip_type,wait
69741540,note,Waits at Wellington for last Orange Line train
69741540,trip_type,wait
69741601,note,Waits at Harvard for last Red Line train
69741601,trip_type,wait
69742228,note,Waits at Sullivan Square for last Orange Line train
69742228,trip_type,wait
69742328,note,Waits at Sullivan Square for last Orange Line train
69742328,trip_type,wait
69742485,note,Waits at Sullivan Square for last Orange Line train
69742485,trip_type,wait
69742582,note,Waits at Surface Rd @ Hanover St for last Orange Line train
69742582,trip_type,wait
69742776,note,Waits at Wellington for last Orange Line train
69742776,trip_type,wait
69742777,note,Waits at Malden Center for last Orange Line train
69742777,trip_type,wait
69742817,note,Waits at Wellington for last Orange Line train
69742817,trip_type,wait
69743663,note,Waits at Malden Center for last Orange Line train
69743663,trip_type,wait
69743826,note,Waits at Harvard for last Red Line train
69743826,trip_type,wait
69743952,note,Waits at Wellington for last Orange Line train
