added_route_id,trip_id
Boat-F6,Boat-F8-0900-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-0900-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-1030-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-1030-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-1515-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-1515-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-1655-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-1655-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-1835-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-1835-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-2010-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-2010-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-1210-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-1210-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-2140-Winthrop-BF8-01-Saturday-Summer-25
Boat-F7,Boat-F8-2140-Winthrop-BF8-01-Saturday-Summer-25
Boat-F6,Boat-F8-0900-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-0900-Winthrop-BF8-01-Sunday-Summer-25
Boat-F6,Boat-F8-1030-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-1030-Winthrop-BF8-01-Sunday-Summer-25
Boat-F6,Boat-F8-1515-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-1515-Winthrop-BF8-01-Sunday-Summer-25
Boat-F6,Boat-F8-1655-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-1655-Winthrop-BF8-01-Sunday-Summer-25
Boat-F6,Boat-F8-1835-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-1835-Winthrop-BF8-01-Sunday-Summer-25
Boat-F6,Boat-F8-2010-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-2010-Winthrop-BF8-01-Sunday-Summer-25
Boat-F6,Boat-F8-1210-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-1210-Winthrop-BF8-01-Sunday-Summer-25
Boat-F6,Boat-F8-2140-Winthrop-BF8-01-Sunday-Summer-25
Boat-F7,Boat-F8-2140-Winthrop-BF8-01-Sunday-Summer-25
40,69817807
50,69817807
40,69817809
50,69817809
40,69817815
50,69817815
40,69817816
50,69817816
40,69819202
50,69819202
40,69819203
50,69819203
40,69819204
50,69819204
40,69819205
50,69819205
40,69819206
50,69819206
40,69819207
50,69819207
40,69819210
50,69819210
40,69819211
50,69819211
40,69820653
50,69820653
40,69820733
50,69820733
40,69817805
50,69817805
40,69817808
50,69817808
40,69817812
50,69817812
40,69817814
50,69817814
40,69819200
50,69819200
40,69819208
50,69819208
40,69819209
50,69819209
40,69819212
